Id	RawTag	FlattenValTag	FlattenTsTag	Type	TimeInterval	IsActive	OutpuParameter	Asset
1	ProductiveTime_SC	SharpChain-UpTime_val	SharpChain-UpTime_ts	Accumulated	5	1	ProductiveTime_SC	SharpChain
2	ProductiveTime_Gang	Gang-Uptime_val	Gang-Uptime_ts	Accumulated	5	1	ProductiveTime_Gang	Gang
3	ProductiveTime_Trimmer	Trimmer-Uptime_val	Trimmer-Uptime_ts	Accumulated	5	1	ProductiveTime_Trimmer	Trimmer
4	LogGap_sec_SC	SharpChain-LogGap_val	SharpChain-LogGap_ts	Event	5	1	LogGap_sec_SC	SharpChain
5	Cant_Cnt_Gang	Gang-CantCount_val	Gang-CantCount_ts	Accumulated	5	1	Cant_Cnt_Gang	Gang
6	Lug_Count_Trimmer	Trimmer-LugCount_val	Trimmer-LugCount_ts	Accumulated	5	1	Lug_Count_Trimmer	Trimmer
7	ProductiveTime_SC	SharpChain-UpTime_val	SharpChain-UpTime_ts	Accumulated	60	1	ProductiveTime_SC	SharpChain
8	ProductiveTime_Gang	Gang-Uptime_val	Gang-Uptime_ts	Accumulated	60	1	ProductiveTime_Gang	Gang
9	ProductiveTime_Trimmer	Trimmer-Uptime_val	Trimmer-Uptime_ts	Accumulated	60	1	ProductiveTime_Trimmer	Trimmer
10	LogGap_sec_SC	SharpChain-LogGap_val	SharpChain-LogGap_ts	Event	60	1	LogGap_sec_SC	SharpChain
11	Cant_Cnt_Gang	Gang-CantCount_val	Gang-CantCount_ts	Accumulated	60	1	Cant_Cnt_Gang	Gang
12	Lug_Count_Trimmer	Trimmer-LugCount_val	Trimmer-LugCount_ts	Accumulated	60	1	Lug_Count_Trimmer	Trimmer
13	NoTag	Gang-EnergyConsumption_val	Gang-EnergyConsumption_ts	Accumulated	5	0	NoTag	Gang
14	NoTag	SharpChain-EnergyConsumption_val	SharpChain-EnergyConsumption_ts	Accumulated	5	0	NoTag	SharpChain
15	Board_Feet_TotalSize_02X04	Trimmer-BoardFeet_Size02X04_Count_val	Trimmer-BoardFeet_Size02X04_Count_ts	Accumulated	5	1	Board_Feet_TotalSize_02X04	Trimmer
16	Board_Feet_TotalSize_02X04	Trimmer-BoardFeet_Size02X04_Count_val	Trimmer-BoardFeet_Size02X04_Count_ts	Accumulated	60	1	Board_Feet_TotalSize_02X04	Trimmer
17	Board_Feet_TotalSize_02X06	Trimmer-BoardFeet_Size02X06_Count_val	Trimmer-BoardFeet_Size02X06_Count_ts	Accumulated	5	1	Board_Feet_TotalSize_02X06	Trimmer
18	Board_Feet_TotalSize_02X06	Trimmer-BoardFeet_Size02X06_Count_val	Trimmer-BoardFeet_Size02X06_Count_ts	Accumulated	60	1	Board_Feet_TotalSize_02X06	Trimmer
19	Board_Feet_TotalSize_02X08	Trimmer-BoardFeet_Size02X08_Count_val	Trimmer-BoardFeet_Size02X08_Count_ts	Accumulated	5	1	Board_Feet_TotalSize_02X08	Trimmer
20	Board_Feet_TotalSize_02X08	Trimmer-BoardFeet_Size02X08_Count_val	Trimmer-BoardFeet_Size02X08_Count_ts	Accumulated	60	1	Board_Feet_TotalSize_02X08	Trimmer
21	Board_Feet_TotalSize_02X10	Trimmer-BoardFeet_Size02X10_Count_val	Trimmer-BoardFeet_Size02X10_Count_ts	Accumulated	5	1	Board_Feet_TotalSize_02X10	Trimmer
22	Board_Feet_TotalSize_02X10	Trimmer-BoardFeet_Size02X10_Count_val	Trimmer-BoardFeet_Size02X10_Count_ts	Accumulated	60	1	Board_Feet_TotalSize_02X10	Trimmer
23	Board_Feet_TotalSize_02X12	Trimmer-BoardFeet_Size02X12_Count_val	Trimmer-BoardFeet_Size02X12_Count_ts	Accumulated	5	1	Board_Feet_TotalSize_02X12	Trimmer
24	Board_Feet_TotalSize_02X12	Trimmer-BoardFeet_Size02X12_Count_val	Trimmer-BoardFeet_Size02X12_Count_ts	Accumulated	60	1	Board_Feet_TotalSize_02X12	Trimmer
25	RightChipHeadAmps	SharpChain-RightChipHead_Amps_val	SharpChain-RightChipHead_Amps_ts	Event	5	1	RightChipHeadAmps	SharpChain
26	RightChipHeadAmps	SharpChain-RightChipHead_Amps_val	SharpChain-RightChipHead_Amps_ts	Event	60	1	RightChipHeadAmps	SharpChain
27	BandMillRightMotorAmps	SharpChain-BandMillRightMotor_Amps_val	SharpChain-BandMillRightMotor_Amps_ts	Event	5	1	BandMillRightMotorAmps	SharpChain
28	BandMillRightMotorAmps	SharpChain-BandMillRightMotor_Amps_val	SharpChain-BandMillRightMotor_Amps_ts	Event	60	1	BandMillRightMotorAmps	SharpChain
29	AvgTurnError	SharpChain-AvgTurnError_val	SharpChain-AvgTurnError_ts	Event	5	1	AvgTurnError	SharpChain
30	AvgTurnError	SharpChain-AvgTurnError_val	SharpChain-AvgTurnError_ts	Event	60	1	AvgTurnError	SharpChain
31	BandMillRightMotorVoltage	SharpChain-BandMillRightMotor_Voltage_val	SharpChain-BandMillRightMotor_Voltage_ts	Event	5	1	BandMillRightMotorVoltage	SharpChain
32	BandMillRightMotorVoltage	SharpChain-BandMillRightMotor_Voltage_val	SharpChain-BandMillRightMotor_Voltage_ts	Event	60	1	BandMillRightMotorVoltage	SharpChain
33	Log_Count_SC	SharpChain-LogCount_val	SharpChain-LogCount_ts	Accumulated	5	1	Log_Count_SC	SharpChain
34	Log_Count_SC	SharpChain-LogCount_val	SharpChain-LogCount_ts	Accumulated	60	1	Log_Count_SC	SharpChain
35	PlannedUptime_SC	ShiftStartTime	ShiftEndTime	Accumulated	5	0	PlannedUptime_SC	SharpChain
36	PlannedUptime_Gang	ShiftStartTime	ShiftEndTime	Accumulated	5	0	PlannedUptime_Gang	Gang
37	PlannedUptime_Trimmer	ShiftStartTime	ShiftEndTime	Accumulated	5	0	PlannedUptime_Trimmer	Trimmer
38	PlannedUptime_SC	ShiftStartTime	ShiftEndTime	Accumulated	60	0	PlannedUptime_SC	SharpChain
39	PlannedUptime_Gang	ShiftStartTime	ShiftEndTime	Accumulated	60	0	PlannedUptime_Gang	Gang
40	PlannedUptime_Trimmer	ShiftStartTime	ShiftEndTime	Accumulated	60	0	PlannedUptime_Trimmer	Trimmer